M1.H_b.cs Time [a],H,CA,HCO3,CO3,CO2aq,Omega
146600.0,7.145782137127896e-09,0.0022738529287643187,0.002006894170067208,0.00013347937934855532,1.6566827757572965e-05,3.046620145378161
146800.0,7.144900559084452e-09,0.0022738756610505557,0.0020068851619010437,0.000133495249574756,1.656470954844425e-05,3.0469823777401235
147000.0,7.1440312691760585e-09,0.0022738972722177843,0.0020068755627130307,0.00013351085475237683,1.6562614968634523e-05,3.047338560460959
147200.0,7.143182891216368e-09,0.0022739172410019336,0.0020068651973128454,0.0001335260218445441,1.656056256707202e-05,3.0476847440345503
147400.0,7.142355678280408e-09,0.0022739360053119365,0.002006854461038196,0.0001335407721368702,1.655855619390849e-05,3.0480214142975544
147600.0,7.141546262624032e-09,0.002273953556056516,0.002006843235187551,0.00013355516043448237,1.6556587062522112e-05,3.0483498221578307
147800.0,7.140752300413082e-09,0.0022739699917684875,0.0020068315297426123,0.00013356923101293756,1.65546498221438e-05,3.048670978189481
148000.0,7.139973638732828e-09,0.002273985287378041,0.002006819317877731,0.00013358298475015505,1.6552743897696237e-05,3.048984902430705
148200.0,7.139213547969502e-09,0.0022739992569574545,0.0020068065438667206,0.00013359635654536695,1.6550876412057885e-05,3.0492901089792466
148400.0,7.138472497160026e-09,0.0022740121012823503,0.002006793400786165,0.0001336093502480927,1.6549050045459998e-05,3.049586685699041
148600.0,7.13774831740246e-09,0.0022740237886143887,0.00200677978935661,0.00013362199962888943,1.6547258951246516e-05,3.0498754033912414
148800.0,7.137039381261384e-09,0.0022740344902120657,0.0020067658072702005,0.00013363434147093257,1.6545500162439648e-05,3.0501571016189617
149000.0,7.13634570287918e-09,0.002274044088556469,0.0020067513515900706,0.0001336463684831991,1.654377286337957e-05,3.0504316139671515
149200.0,7.135663803083137e-09,0.002274052859106725,0.0020067365506775967,0.00013365815421456412,1.654207004705521e-05,3.05070061916316
149400.0,7.134992888130371e-09,0.0022740606844982767,0.0020067212749464917,0.00013366970477589248,1.6540388805503636e-05,3.0509642566853383
149600.0,7.134334082399649e-09,0.0022740675686267033,0.0020067055652281405,0.00013368100169928142,1.653873208229059e-05,3.051222105010267
149800.0,7.1336863989259925e-09,0.0022740735847019715,0.002006689453706407,0.00013369206549778225,1.6537097855022108e-05,3.051474632341167
150000.0,7.133050951316944e-09,0.0022740786524880698,0.0020066729066217596,0.0001337028729331551,1.653548842730254e-05,3.0517213082733403
150200.0,7.13242993916317e-09,0.002274082728764269,0.0020066559588291727,0.00013371338496754822,1.6533909185517887e-05,3.051961241781477
150400.0,7.1318258585436455e-09,0.002274085743063772,0.0020066386309938356,0.00013372355603496816,1.6532366086128517e-05,3.0521933928377134
150600.0,7.131234348848954e-09,0.0022740880319760647,0.0020066210760833676,0.00013373347794634854,1.6530850280795052e-05,3.052419856994497
150800.0,7.1306559128560285e-09,0.0022740893833147293,0.0020066031237133213,0.000133743129800704,1.652936153115174e-05,3.052640157194147
151000.0,7.13008975277961e-09,0.002274089921393567,0.0020065848573736678,0.00013375253200994955,1.652789867556898e-05,3.0528547593314834
151200.0,7.129536514818293e-09,0.0022740896011940034,0.002006566258927472,0.00013376167113326575,1.6526463062412414e-05,3.0530633566245045
151400.0,7.128997169188799e-09,0.0022740883972219043,0.0020065473382029114,0.00013377052950949643,1.652505702139464e-05,3.0532655459634976
151600.0,7.128470249093361e-09,0.0022740864351991235,0.002006528157756873,0.00013377913872112518,1.652367766734786e-05,3.0534620482076047
151800.0,7.127954196808055e-09,0.002274083761540716,0.0020065087071252734,0.00013378752720772128,1.652232130301169e-05,3.053653512480046
152000.0,7.1274503660364334e-09,0.002274080225903278,0.0020064888986507322,0.00013379566362627278,1.65209903441859e-05,3.0538392233875373
152200.0,7.126960165115114e-09,0.0022740759084582465,0.002006468849896649,0.0001338035292807987,1.651968902298558e-05,3.0540187542008526
152400.0,7.126483418965467e-09,0.0022740708325359313,0.0020064485758249425,0.00013381112835549437,1.651841705623599e-05,3.054192200422787
152600.0,7.1260201936514775e-09,0.0022740649312612826,0.0020064280197907196,0.0001338184557352815,1.6517174130182676e-05,3.054359445303466
152800.0,7.125568536915572e-09,0.002274058403177295,0.0020064072924360996,0.00013382555537059778,1.6515956630049847e-05,3.054521491996258
