M1.D_b.TA Time [a],M1.D_b.TA TA [mol],M1.D_b.TA C^{12}$S [mol],M1.D_b.TA C^{13}$S [mol],M1.D_b.TA $\delta^{13}$C [VPDB],M1.D_b.TA TA [mol/l],M1.CG_H_b2D_b.C_TA_2_TA_thc.thc_F TA [mol/a],M1.CG_H_b2D_b.C_TA_2_TA_thc.thc_F TA [C^{12}$S],M1.CG_H_b2D_b.C_TA_2_TA_thc.thc_F TA [C^{13}$S],M1.CG_H_b2D_b.C_TA_2_TA_thc.thc_F TA $\delta^{13}$C [VPDB],M1.CG_D_b2L_b.C_TA_2_TA_thc.thc_F TA [mol/a],M1.CG_D_b2L_b.C_TA_2_TA_thc.thc_F TA [C^{12}$S],M1.CG_D_b2L_b.C_TA_2_TA_thc.thc_F TA [C^{13}$S],M1.CG_D_b2L_b.C_TA_2_TA_thc.thc_F TA $\delta^{13}$C [VPDB],M1.CG_H_b2D_b.C_TA_2_TA_mix_f.mix_f_F TA [mol/a],M1.CG_H_b2D_b.C_TA_2_TA_mix_f.mix_f_F TA [C^{12}$S],M1.CG_H_b2D_b.C_TA_2_TA_mix_f.mix_f_F TA [C^{13}$S],M1.CG_H_b2D_b.C_TA_2_TA_mix_f.mix_f_F TA $\delta^{13}$C [VPDB],M1.CG_D_b2H_b.C_TA_2_TA_mix_b.mix_b_F TA [mol/a],M1.CG_D_b2H_b.C_TA_2_TA_mix_b.mix_b_F TA [C^{12}$S],M1.CG_D_b2H_b.C_TA_2_TA_mix_b.mix_b_F TA [C^{13}$S],M1.CG_D_b2H_b.C_TA_2_TA_mix_b.mix_b_F TA $\delta^{13}$C [VPDB],M1.CG_L_b2D_b.C_TA_2_TA_PIC_TA.PIC_TA_F TA [mol/a],M1.CG_L_b2D_b.C_TA_2_TA_PIC_TA.PIC_TA_F TA [C^{12}$S],M1.CG_L_b2D_b.C_TA_2_TA_PIC_TA.PIC_TA_F TA [C^{13}$S],M1.CG_L_b2D_b.C_TA_2_TA_PIC_TA.PIC_TA_F TA $\delta^{13}$C [VPDB]
6000.0,3.0835110756713953e+18,1.1634270722153165e+19,-8.550757571803881e+18,-66404.45298842536,0.00238429451893104,1835895130515971.2,7078497531038010.0,-5242602400522039.0,-66909.45592302797,1881065325159572.8,7097366639070373.0,-5216301313910800.0,-66404.43725449212,2203074156619165.8,8494197037245614.0,-6291122880626448.0,-66909.45592302797,2257278390191487.5,8516839966884449.0,-6259561576692962.0,-66404.43725449212,120000000000000.0,118666520574994.69,1333479425005.328,0.0
6200.0,3.083484547924378e+18,1.1649710538407805e+19,-8.56622391475417e+18,-66435.91465308963,0.002384274006612368,1835873228735978.5,7087956678596566.0,-5252083449860588.0,-66940.53295239955,1881049143579958.2,7106785540284355.0,-5225736396704397.0,-66435.89892529913,2203047874483174.2,8505548014315880.0,-6302500139832706.0,-66940.53295239955,2257258972295950.0,8528142648341227.0,-6270883676045277.0,-66435.89892529913,120000000000000.0,118666520574994.69,1333479425005.328,0.0
6400.0,3.083453178846876e+18,1.1665167946165008e+19,-8.581712690454497e+18,-66467.36543916234,0.0023842497507826606,1835847885374207.0,7097426349361574.0,-5261578463987367.0,-66971.60442640149,1881030008710919.0,7116215173047777.0,-5235185164336858.0,-66467.3497162022,2203017462449048.5,8516911619233890.0,-6313894156784842.0,-66971.60442640149,2257236010453103.0,8539458207657333.0,-6282222197204230.0,-66467.3497162022,120000000000000.0,118666520574994.69,1333479425005.328,0.0
6600.0,3.0834172892150057e+18,1.1680643028843928e+19,-8.597223661997722e+18,-66498.80297506266,0.0023842219994788857,1835819767075649.0,7106907062005534.0,-5271087294929885.0,-67002.66355938793,1881008115901080.2,7125655588186887.0,-5244647472285807.0,-66498.78725963384,2202983720490779.0,8528288474406641.0,-6325304753915862.0,-67002.66355938793,2257209739081296.5,8550786705824265.0,-6293576966742968.0,-66498.78725963384,120000000000000.0,118666520574994.69,1333479425005.328,0.0
6800.0,3.0833767847742766e+18,1.169613589539944e+19,-8.612757032072399e+18,-66530.22810257453,0.0023841906798196875,1835788889840746.0,7116398863553246.0,-5280609973712500.0,-67033.71020771755,1880983407959317.8,7135106852171132.0,-5254123444211814.0,-66530.21239353684,2202946667808895.5,8539678636263897.0,-6336731968455002.0,-67033.71020771755,2257180089551181.5,8562128222605358.0,-6304948133054176.0,-66530.21239353684,120000000000000.0,118666520574994.69,1333479425005.328,0.0
7000.0,3.0833322545257436e+18,1.1711646649964737e+19,-8.628312316250028e+18,-66561.63646395376,0.002384156247244322,1835755541848116.2,7125901808543865.0,-5290146266695749.0,-67064.74085295318,1880956243941360.2,7144569028527132.0,-5263612784585772.0,-66561.62076339313,2202906650217739.8,8551082170252639.0,-6348175520034899.0,-67064.74085295318,2257147492729632.5,8573482834232559.0,-6316335341502926.0,-66561.62076339313,120000000000000.0,118666520574994.69,1333479425005.328,0.0
7200.0,3.0832844731584676e+18,1.1727176277723314e+19,-8.643889724715428e+18,-66593.02406658317,0.002384119300773462,1835725402152902.5,7135421355776303.0,-5299695953623400.0,-67095.70210158273,1880927095928635.8,7154042717604257.0,-5273115621675621.0,-66593.00838078716,2202870482583483.2,8562505626931565.0,-6359635144348082.0,-67095.70210158273,2257112515114363.0,8584851261125110.0,-6327738746010747.0,-66593.00838078716,120000000000000.0,118666520574994.69,1333479425005.328,0.0
7400.0,3.0832356038740137e+18,1.1742726564313567e+19,-8.659488880076532e+18,-66624.37800241879,0.0023840815130813774,1835696015681348.5,7144954813498803.0,-5309258797817454.0,-67126.6159795204,1880897283963055.5,7163529009221004.0,-5282631725257948.0,-66624.36233431076,2202835218817618.2,8573945776198564.0,-6371110557380946.0,-67126.6159795204,2257076740755667.0,8596234811065207.0,-6339158070309540.0,-66624.36233431076,120000000000000.0,118666520574994.69,1333479425005.328,0.0
7600.0,3.0831858065329495e+18,1.1758297607793945e+19,-8.675109720291154e+18,-66655.69722268118,0.0023840430077786746,1835666073798284.5,7154500959469438.0,-5318834885671154.0,-67157.49487244256,1880866905901186.2,7173027963369037.0,-5292161057467851.0,-66655.68157157539,2202799288557941.5,8585401151363326.0,-6382601862805384.0,-67157.49487244256,2257040287081423.5,8607633556042844.0,-6350593268961420.0,-66655.68157157539,120000000000000.0,118666520574994.69,1333479425005.328,0.0
7800.0,3.0831350005554606e+18,1.1773889429104396e+19,-8.690752346986707e+18,-66686.98235076328,0.002384003722557807,1835635510308323.8,7164059845320900.0,-5328424335012576.0,-67188.33974273286,1880835912522720.2,7182539592817352.0,-5301703680294632.0,-66686.96671674553,2202762612369988.5,8596871814385078.0,-6394109202015090.0,-67188.33974273286,2257003095027264.5,8619047511380824.0,-6362044416353560.0,-66686.96671674553,120000000000000.0,118666520574994.69,1333479425005.328,0.0
