M1.CO2_At Time [a],M1.CO2_At CO2 [mol],M1.CO2_At C^{12}$S [mol],M1.CO2_At C^{13}$S [mol],M1.CO2_At $\delta^{13}$C [VPDB],M1.CO2_At CO2 [mol/l],C_H_b_2_CO2_At.CO2_F CO2 [mol/a],C_H_b_2_CO2_At.CO2_F CO2 [C^{12}$S],C_H_b_2_CO2_At.CO2_F CO2 [C^{13}$S],C_H_b_2_CO2_At.CO2_F CO2 $\delta^{13}$C [VPDB],C_L_b_2_CO2_At.CO2_F CO2 [mol/a],C_L_b_2_CO2_At.CO2_F CO2 [C^{12}$S],C_L_b_2_CO2_At.CO2_F CO2 [C^{13}$S],C_L_b_2_CO2_At.CO2_F CO2 $\delta^{13}$C [VPDB],M1.volcanic.DIC_2_CO2_At_F CO2 [mol/a],M1.volcanic.DIC_2_CO2_At_F CO2 [C^{12}$S],M1.volcanic.DIC_2_CO2_At_F CO2 [C^{13}$S],M1.volcanic.DIC_2_CO2_At_F CO2 $\delta^{13}$C [VPDB],M1.C_CO2_At_2_DIC_Si_W.CO2_At_2_DIC_Si_W_F CO2 [mol/a],M1.C_CO2_At_2_DIC_Si_W.CO2_At_2_DIC_Si_W_F CO2 [C^{12}$S],M1.C_CO2_At_2_DIC_Si_W.CO2_At_2_DIC_Si_W_F CO2 [C^{13}$S],M1.C_CO2_At_2_DIC_Si_W.CO2_At_2_DIC_Si_W_F CO2 $\delta^{13}$C [VPDB]
151400.0,5.2813134768035304e+16,2.458875989322726e+16,2.8224374874808044e+16,101147.93586151325,0.00028812403037662467,47084797588818.74,-8601109297687.664,55685906886506.41,-577146.2239763857,-47080535377210.33,11562041912185.125,-58642577289395.45,-452357.225330605,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2958049085887.31,0.0,0.0,0.0
151600.0,5.280894538960383e+16,2.4578325494638292e+16,2.823061989496554e+16,101213.9125894893,0.00028810117506603293,47087104478997.65,-8615181593181.617,55702286072179.266,-576374.3175673052,-47083149527179.81,11575912752761.273,-58659062279941.086,-451943.1152208404,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2958002154817.594,0.0,0.0,0.0
151800.0,5.280482409691072e+16,2.456793000357239e+16,2.823689409333833e+16,101279.8890720748,0.0002880786911997312,47089323436366.59,-8629312413510.727,55718635849877.32,-575600.7284585699,-47085673740598.17,11589844284279.578,-58675518024877.75,-451527.4125538729,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2957955983561.458,0.0,0.0,0.0
152000.0,5.280077714886658e+16,2.455757623092171e+16,2.8243200917944864e+16,101345.86577543373,0.0002880566129234401,47091419664215.766,-8643522043732.289,55734941707948.055,-574823.984528065,-47088112619721.27,11603837799098.453,-58691950418819.73,-451110.1246641204,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2957910642342.4062,0.0,0.0,0.0
152200.0,5.279682150026823e+16,2.454727217110041e+16,2.8249549329167824e+16,101411.84149424073,0.0002880350327346876,47093502835151.27,-8657764929400.711,55751267764551.984,-574047.7967475981,-47090641459618.055,11617815985188.32,-58708457444806.375,-450695.00700879894,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2957866321213.6045,0.0,0.0,0.0
152400.0,5.279295413224231e+16,2.4537016441438948e+16,2.8255937690803364e+16,101477.81566677275,0.00028801393416389695,47095512056872.87,-8672066565850.305,55767578622723.17,-573270.1256289906,-47093041677108.74,11631879908842.562,-58724921585951.305,-450277.2473636985,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2957822986707.6797,0.0,0.0,0.0
152600.0,5.278917320913496e+16,2.452680803677509e+16,2.826236517235987e+16,101543.78909029522,0.00028799330719659006,47097422625993.3,-8686439182336.047,55783861808329.34,-572490.0619072871,-47095327431595.78,11646022742514.805,-58741350174110.586,-449857.18369631463,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2957780618384.282,0.0,0.0,0.0
152800.0,5.278546948124888e+16,2.4516642642012628e+16,2.8268826839236252e+16,101609.7615302996,0.00028797310137069766,47099289831677.62,-8700851706803.148,55800141538480.766,-571709.9222996841,-47097487634139.95,11660244156548.406,-58757731790688.36,-449434.758450818,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2957739112825.853,0.0,0.0,0.0
153000.0,5.278183068462481e+16,2.4506514439816244e+16,2.8275316244808564e+16,101675.73360175722,0.00028795324977973165,47101063953363.86,-8715323492935.0,55816387446298.86,-570928.1422160238,-47099574258354.66,11674517184499.055,-58774091442853.71,-449011.21424522216,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2957698332618.3057,0.0,0.0,0.0
153200.0,5.2778395510330424e+16,2.449648815996978e+16,2.8281907350360644e+16,101741.70220236256,0.00028793450905799465,47102850965410.59,-8729870298470.445,55832721263881.04,-570144.9593154056,-47102858910354.27,11688310014632.336,-58791168924986.61,-448612.5582336997,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2957659831006.356,0.0,0.0,0.0
153400.0,5.277520334704216e+16,2.448658298132579e+16,2.828862036571637e+16,101807.65942846224,0.00028791709409188305,47104726411156.39,-8744451862587.086,55849178273743.48,-569363.3766372172,-47105674320286.57,11702398871381.672,-58808073191668.24,-448202.21192708705,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2957624051783.5376,0.0,0.0,0.0
153600.0,5.277217748336714e+16,2.4476762716876004e+16,2.8295414766491132e+16,101873.60904349733,0.0002879005863795261,47106584069656.87,-8759090141573.117,55865674211229.984,-568581.1166333436,-47108225675748.41,11716661850622.477,-58824887526370.88,-447785.5296049365,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2957590135145.365,0.0,0.0,0.0
