M1.H_b.TA Time [a],M1.H_b.TA TA [mol],M1.H_b.TA C^{12}$S [mol],M1.H_b.TA C^{13}$S [mol],M1.H_b.TA $\delta^{13}$C [VPDB],M1.H_b.TA TA [mol/l],M1.CG_L_b2H_b.C_TA_2_TA_thc.thc_F TA [mol/a],M1.CG_L_b2H_b.C_TA_2_TA_thc.thc_F TA [C^{12}$S],M1.CG_L_b2H_b.C_TA_2_TA_thc.thc_F TA [C^{13}$S],M1.CG_L_b2H_b.C_TA_2_TA_thc.thc_F TA $\delta^{13}$C [VPDB],M1.CG_H_b2D_b.C_TA_2_TA_thc.thc_F TA [mol/a],M1.CG_H_b2D_b.C_TA_2_TA_thc.thc_F TA [C^{12}$S],M1.CG_H_b2D_b.C_TA_2_TA_thc.thc_F TA [C^{13}$S],M1.CG_H_b2D_b.C_TA_2_TA_thc.thc_F TA $\delta^{13}$C [VPDB],M1.CG_H_b2D_b.C_TA_2_TA_mix_f.mix_f_F TA [mol/a],M1.CG_H_b2D_b.C_TA_2_TA_mix_f.mix_f_F TA [C^{12}$S],M1.CG_H_b2D_b.C_TA_2_TA_mix_f.mix_f_F TA [C^{13}$S],M1.CG_H_b2D_b.C_TA_2_TA_mix_f.mix_f_F TA $\delta^{13}$C [VPDB],M1.CG_D_b2H_b.C_TA_2_TA_mix_b.mix_b_F TA [mol/a],M1.CG_D_b2H_b.C_TA_2_TA_mix_b.mix_b_F TA [C^{12}$S],M1.CG_D_b2H_b.C_TA_2_TA_mix_b.mix_b_F TA [C^{13}$S],M1.CG_D_b2H_b.C_TA_2_TA_mix_b.mix_b_F TA $\delta^{13}$C [VPDB]
7000.0,4.0328337791688216e+16,1.5654370263153146e+17,-1.1621536483984323e+17,-67064.7563645428,0.0023268632906628343,1781510896065104.8,7104545574066699.0,-5323034678001594.0,-67675.28495799935,1835755541848116.2,7125901808543865.0,-5290146266695749.0,-67064.74085295318,2202906650217739.8,8551082170252639.0,-6348175520034899.0,-67064.74085295318,2257147492729632.5,8573482834232559.0,-6316335341502926.0,-66561.62076339313
7200.0,4.032767573580547e+16,1.5675283063696906e+17,-1.1642515490116358e+17,-67095.71756732935,0.00232682509138128,1781480171361861.2,7114122193315523.0,-5332642021953662.0,-67705.70825676466,1835725402152902.5,7135421355776303.0,-5299695953623400.0,-67095.70210158273,2202870482583483.2,8562505626931565.0,-6359635144348082.0,-67095.70210158273,2257112515114363.0,8584851261125110.0,-6327738746010747.0,-66593.00838078716
7400.0,4.032703016098203e+16,1.5696226416644502e+17,-1.1663523400546299e+17,-67126.63142737394,0.002326787843023418,1781451241024460.0,7123713641632904.0,-5342262400608444.0,-67736.07366727536,1835696015681348.5,7144954813498803.0,-5309258797817454.0,-67126.6159795204,2202835218817618.2,8573945776198564.0,-6371110557380946.0,-67126.6159795204,2257076740755667.0,8596234811065207.0,-6339158070309540.0,-66624.36233431076
7600.0,4.032637238310624e+16,1.5717197643510896e+17,-1.1684560405200272e+17,-67157.51030339944,0.0023267498905741872,1781421751767182.5,7133317814764312.0,-5351896062997130.0,-67766.4040357874,1835666073798284.5,7154500959469438.0,-5318834885671154.0,-67157.49487244256,2202799288557941.5,8585401151363326.0,-6382601862805384.0,-67157.49487244256,2257040287081423.5,8607633556042844.0,-6350593268961420.0,-66655.68157157539
7800.0,4.032570094999891e+16,1.5738196857710566e+17,-1.1705626762710675e+17,-67188.35515662418,0.002326711150245795,1781391637201517.5,7142934809627031.0,-5361543172425514.0,-67796.70046978033,1835635510308323.8,7164059845320900.0,-5328424335012576.0,-67188.33974273286,2202762612369988.5,8596871814385078.0,-6394109202015090.0,-67188.33974273286,2257003095027264.5,8619047511380824.0,-6362044416353560.0,-66686.96671674553
8000.0,4.032501652034789e+16,1.5759224130093792e+17,-1.1726722478059003e+17,-67219.16568914126,0.0023266716600431926,1781360926640207.8,7152564672383868.0,-5371203745743660.0,-67826.96272154659,1835604355144486.0,7173631503311352.0,-5338027148166866.0,-67219.15029313351,2202725226173383.2,8608357803973622.0,-6405632577800239.0,-67219.15029313351,2256965212250490.5,8630476700358934.0,-6373511488108444.0,-66718.21731186355
8200.0,4.0324000984525656e+16,1.578024919050738e+17,-1.1747849092054813e+17,-67250.077645594,0.00232661306568611,1781297138306413.2,7162176673052926.0,-5380879534746513.0,-67857.49938889332,1835558138136724.2,7183202163791058.0,-5347644025654334.0,-67250.06217103498,2202669765764069.2,8619842596549270.0,-6417172830785201.0,-67250.06217103498,2256925033127572.5,8641919495600096.0,-6384994462472524.0,-66749.4454847424
8400.0,4.032280074047515e+16,1.580128755342905e+17,-1.1769007479381534e+17,-67281.03048214951,0.002326543814038909,1781222337105286.2,7171793177083968.0,-5390570839978682.0,-67888.10473271085,1835503505148857.8,7192778871964460.0,-5357275366815602.0,-67281.01500433835,2202604206178629.2,8631334646357353.0,-6428730440178724.0,-67281.01500433835,2256879113050737.5,8653372770695034.0,-6396493657644296.0,-66780.67821718662
8600.0,4.032149695107281e+16,1.5822346382441344e+17,-1.1790196687334064e+17,-67311.98857650447,0.0023264685880349328,1781142933825790.2,7181419677368778.0,-5400276743542988.0,-67918.71586067538,1835444158650862.8,7202364896337342.0,-5366920737686479.0,-67311.97309671948,2202532990381035.5,8642837875604811.0,-6440304885223776.0,-67311.97309671948,2256827447538606.5,8664836548168097.0,-6408009100629490.0,-66811.9154837917
8800.0,4.032009600741343e+16,1.5843425750450458e+17,-1.1811416149709114e+17,-67342.94830215377,0.0023263877564273887,1781059187856446.2,7191056087070586.0,-5409996899214140.0,-67949.3291457805,1835380389498137.0,7211960270081391.0,-5376579880583254.0,-67342.93282246611,2202456467397764.5,8654352324097670.0,-6451895856699906.0,-67342.93282246611,2256770432189413.5,8676310991216452.0,-6419540559027038.0,-66843.15353218082
