M1.L_b.cs Time [a],H,CA,HCO3,CO3,CO2aq,Omega
54000.0,7.273608309244213e-09,0.002152770233958314,0.0016610693664058495,0.0002458504337762323,8.992735637764664e-06,5.751647187984315
54200.0,7.272891393759327e-09,0.002152804714032648,0.001661058573038466,0.000245873070497091,8.991790850697073e-06,5.752176771885682
54400.0,7.272226484969908e-09,0.0021528368496066953,0.0016610486774436548,0.00024589408608152025,8.990915232320548e-06,5.752668429456628
54600.0,7.271600179049854e-09,0.002152867260238932,0.001661039459544649,0.0002459139003471415,8.990091017482891e-06,5.7531319822899185
54800.0,7.271007657596631e-09,0.00215289608384973,0.0016610307752343602,0.000245932654307685,8.98931146744975e-06,5.753570729388171
55000.0,7.270447703037738e-09,0.002152923256482031,0.001661022512415862,0.00024595037203308456,8.988574468945533e-06,5.753985233865167
55200.0,7.269929656780446e-09,0.002152947770079179,0.0016610143817764541,0.0002459666941513624,8.987890004228207e-06,5.754367088248147
55400.0,7.269452011885861e-09,0.002152970480314441,0.001661006965680922,0.0002459817573167596,8.987259360366965e-06,5.754719489549898
55600.0,7.269008948588358e-09,0.002152991695843865,0.001661000199134221,0.00024599574835482206,8.986674989305441e-06,5.7550468085360516
55800.0,7.2685992659448204e-09,0.0021530114153241755,0.0016609940189953238,0.00024600869816442583,8.986135063560052e-06,5.755349768082831
56000.0,7.268220637986456e-09,0.002153029765546946,0.0016609884021495916,0.0002460206816986772,8.985636581511987e-06,5.755630121710931
56200.0,7.267855309711887e-09,0.002153048521046428,0.0016609837906861895,0.0002460323651801193,8.98515998351264e-06,5.755903455632495
56400.0,7.2675025217119976e-09,0.0021530665703373563,0.0016609792876526698,0.0002460436413423432,8.984699477892133e-06,5.7561672603602325
56600.0,7.267169609087368e-09,0.0021530834341748155,0.0016609749067031821,0.0002460542637358167,8.984264206541269e-06,5.756415770231103
56800.0,7.26685746342629e-09,0.0021530992724259285,0.001660970818016957,0.00024606422720448574,8.983856191890774e-06,5.756648864619724
57000.0,7.266565133772765e-09,0.00215311419280921,0.0016609670552691974,0.0002460735687700062,8.983474440038856e-06,5.756867409644159
57200.0,7.267135692766576e-09,0.0021530426381174655,0.001660941663248958,0.0002460504874342538,8.9840424624117e-06,5.756327424020232
57400.0,7.26848359561059e-09,0.0021529486572082366,0.0016609395622852968,0.0002460045474614699,8.985697449595998e-06,5.755252662787478
57600.0,7.270291039006938e-09,0.002152847380654664,0.0016609557951526755,0.0002459457927509942,8.988019751891233e-06,5.753878102002297
57800.0,7.2724676073869295e-09,0.0021527383758806946,0.001660985279015489,0.00024587654843260284,8.990870166594982e-06,5.752258137851564
58000.0,7.274980312760966e-09,0.0021526218051431253,0.0016610263882377966,0.00024579770845266434,8.994199196113721e-06,5.750413684124358
58200.0,7.278565328545513e-09,0.0021524229834188327,0.0016610598118792278,0.00024568158576980244,8.998812493627578e-06,5.747697005157861
58400.0,7.28309156727693e-09,0.0021522045361291207,0.0016611268999370586,0.00024553881809603103,9.004772159335126e-06,5.744356969198724
58600.0,7.288224346505041e-09,0.0021519831452354774,0.0016612229719575602,0.0002453800866389586,9.011639459868804e-06,5.740643462068831
58800.0,7.2938468506880544e-09,0.0021517605106449967,0.001661343163082278,0.0002452086737813594,9.019243997483869e-06,5.736633274796628
59000.0,7.2999281073687626e-09,0.002151534905130163,0.0016614844353261772,0.000245025234901993,9.027531397312757e-06,5.732341739904991
59200.0,7.306081686203789e-09,0.002151345945933581,0.0016616572847181956,0.0002448443306076926,9.03608123789838e-06,5.728109501386535
59400.0,7.312324149075739e-09,0.002151166752368525,0.0016618418028991645,0.00024466247473468026,9.044806113090277e-06,5.723855000775883
59600.0,7.3187643481713595e-09,0.0021509929132530956,0.0016620401866148716,0.000244476363319112,9.053852846814406e-06,5.719500942157547
